X,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,BQ2_quality
2375,7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,"[3,6]"
4026,6.2,0.32,0.45,2.9,0.029,37,94,0.98998,3.25,0.6,12.4,"[3,6]"
586,7.4,0.24,0.22,10.7,0.042,26,81,0.9954,2.86,0.36,9.7,"[3,6]"
3820,5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,"[3,6]"
2717,7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,"[3,6]"
2136,7.2,0.16,0.26,7.1,0.054,41,224,0.9966,3.38,0.55,10.1,"[3,6]"
3448,6,0.17,0.29,9.7,0.044,33,98,0.99536,3.12,0.36,9.2,"[3,6]"
3147,6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,"[3,6]"
2458,8.1,0.33,0.36,7.4,0.037,36,156,0.99592,3.19,0.54,10.6,"[3,6]"
893,5.9,0.26,0.3,1,0.036,38,114,0.9928,3.58,0.48,9.4,"[3,6]"
4661,6.6,0.33,0.41,2,0.027,14,79,0.99063,3.27,0.63,12.4,"[3,6]"
1987,7.6,0.16,0.41,1.9,0.047,27,151,0.9937,3.2,0.53,10.1,"[3,6]"
2906,7.6,0.31,0.26,1.7,0.073,40,157,0.9938,3.1,0.46,9.8,"[3,6]"
4849,7,0.36,0.35,2.5,0.048,67,161,0.99146,3.05,0.56,11.1,"[3,6]"
1629,8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,"[3,6]"
3787,7.4,0.29,0.48,12.8,0.037,61.5,182,0.99808,3.02,0.34,8.8,"[3,6]"
1668,8.8,0.39,0.34,5.9,0.055,33,128,0.9927,2.95,0.51,11.8,"[3,6]"
1339,6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,"[3,6]"
4853,6.2,0.23,0.38,1.6,0.044,12,113,0.99176,3.3,0.73,11.4,"[3,6]"
4496,6.8,0.23,0.39,16.1,0.053,71,194,0.9988,3.18,0.64,10.2,"[3,6]"
1655,6.6,0.46,0.49,7.4,0.052,19,184,0.9956,3.11,0.38,9,"[3,6]"
2368,7.2,0.3,0.3,8.1,0.05,40,188,0.99652,3.15,0.49,9.1,"[3,6]"
1478,7.6,0.51,0.24,1.2,0.04,10,104,0.992,3.05,0.29,10.8,"[3,6]"
858,8.2,0.4,0.48,13.7,0.042,59,169,0.9986,3.1,0.52,9.4,"[3,6]"
2368,7.2,0.3,0.3,8.1,0.05,40,188,0.99652,3.15,0.49,9.1,"[3,6]"
2097,6.8,0.32,0.34,6,0.05,5,129,0.9953,3.19,0.4,9.1,"[3,6]"
1821,6.8,0.3,0.35,2.8,0.038,10,164,0.9912,3.09,0.53,12,"[3,6]"
4086,7.4,0.26,0.29,3.7,0.048,14,73,0.9915,3.06,0.45,11.4,"[3,6]"
4471,4.7,0.145,0.29,1,0.042,35,90,0.9908,3.76,0.49,11.3,"[3,6]"
2934,6.9,0.22,0.31,6.3,0.029,41,131,0.99326,3.08,0.49,10.8,"[3,6]"
1888,7.3,0.24,0.41,13.6,0.05,41,178,0.9988,3.37,0.43,9.7,"[3,6]"
3402,8.8,0.19,0.3,5,0.028,34,120,0.99242,2.94,0.47,11.2,"[3,6]"
207,7,0.16,0.32,8.3,0.045,38,126,0.9958,3.21,0.34,9.2,"[3,6]"
3421,7.6,0.28,0.49,20.15,0.06,30,145,1.00196,3.01,0.44,8.5,"[3,6]"
4825,6.4,0.23,0.35,10.3,0.042,54,140,0.9967,3.23,0.47,9.2,"[3,6]"
1164,5.7,0.26,0.27,4.1,0.201,73.5,189.5,0.9942,3.27,0.38,9.4,"[3,6]"
953,6.5,0.17,0.33,1.4,0.028,14,99,0.9928,3.23,0.55,10.1,"[3,6]"
1746,6.1,0.34,0.31,12,0.053,46,238,0.9977,3.16,0.48,8.6,"[3,6]"
1894,6.8,0.24,0.31,18.3,0.046,40,142,1,3.3,0.41,8.7,"[3,6]"
1315,6.4,0.31,0.4,6.2,0.04,46,169,0.9953,3.15,0.46,9.3,"[3,6]"
260,5.8,0.36,0.38,0.9,0.037,3,75,0.9904,3.28,0.34,11.4,"[3,6]"
3634,6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,"[3,6]"
2439,6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,"[3,6]"
2425,6.2,0.44,0.18,7.7,0.096,28,210,0.99771,3.56,0.72,9.2,"[3,6]"
2569,6.8,0.28,0.36,7,0.043,60,207,0.99556,3.16,0.49,9.6,"[3,6]"
3590,6.8,0.19,0.71,17.5,0.042,21,114,0.99784,2.85,0.5,9.5,"[3,6]"
3205,6.8,0.28,0.34,7.5,0.035,34,177,0.99692,3.33,0.43,9.1,"[3,6]"
1567,7.6,0.18,0.49,18.05,0.046,36,158,0.9996,3.06,0.41,9.2,"[3,6]"
1253,5.6,0.245,0.32,1.1,0.047,24,152,0.9927,3.12,0.42,9.3,"[3,6]"
4894,6.2,0.21,0.29,1.6,0.039,24,92,0.99114,3.27,0.5,11.2,"[3,6]"
4703,6.4,0.69,0.09,7.6,0.044,34,144,0.9948,3.26,0.38,10.1,"[3,6]"
4141,6.8,0.28,0.29,11.9,0.052,51,149,0.99544,3.02,0.58,10.4,"[3,6]"
2783,7.1,0.2,0.31,6.85,0.053,32,211,0.99587,3.31,0.59,10.4,"[3,6]"
1639,7.6,0.47,0.49,13,0.239,42,220,0.9988,2.96,0.51,9.2,"[3,6]"
2416,8.2,0.24,0.3,2.3,0.05,23,106,0.99397,2.98,0.5,10,"[3,6]"
2473,8.8,0.24,0.23,10.3,0.032,12,97,0.99571,3.13,0.4,10.7,"[3,6]"
1541,7.1,0.18,0.74,15.6,0.044,44,176,0.9996,3.38,0.67,9,"[3,6]"
3193,8.3,0.16,0.37,7.9,0.025,38,107,0.99306,2.93,0.37,11.9,"[3,6]"
3627,7,0.29,0.33,0.9,0.041,20,117,0.99048,3.21,0.5,11.4,"[3,6]"
797,7.8,0.42,0.23,8.8,0.054,42,215,0.9971,3.02,0.58,9.2,"[3,6]"
3901,7,0.34,0.1,3.5,0.044,17,63,0.9937,3.01,0.39,9.2,"[3,6]"
241,7.3,0.32,0.23,13.7,0.05,49,197,0.9985,3.2,0.46,8.7,"[3,6]"
1756,6.3,0.25,0.23,14.9,0.039,47,142,0.99705,3.14,0.35,9.7,"[3,6]"
2087,8.2,0.17,0.32,1.5,0.05,17,101,0.994,3.14,0.58,9.5,"[3,6]"
344,5.4,0.31,0.47,3,0.053,46,144,0.9931,3.29,0.76,10,"[3,6]"
4091,6.7,0.24,0.3,10.2,0.07,44,179,0.99666,2.86,0.46,8.9,"[3,6]"
3021,8.4,0.32,0.35,11.7,0.029,3,46,0.99439,3.02,0.34,11.8,"[3,6]"
253,6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,"[3,6]"
3696,6.4,0.15,0.4,1.3,0.053,61,146,0.99112,3.17,0.68,11,"[3,6]"
607,7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6,"[3,6]"
2714,6.8,0.23,0.42,7.4,0.044,56,189,0.9958,3.22,0.48,9.3,"[3,6]"
2278,7.4,0.14,0.3,1.3,0.033,25,91,0.99268,3.53,0.39,10.6,"[3,6]"
50,6.9,0.19,0.35,5,0.067,32,150,0.995,3.36,0.48,9.8,"[3,6]"
1974,7.5,0.26,0.26,18.35,0.084,33,139,1.0011,3.17,0.39,8.8,"[3,6]"
3814,7,0.3,0.28,2.2,0.042,21,177,0.99166,3.2,0.57,11.4,"[3,6]"
2303,6,0.26,0.18,7,0.055,50,194,0.99591,3.21,0.43,9,"[3,6]"
1477,7.1,0.85,0.49,8.7,0.028,40,184,0.9962,3.22,0.36,10.7,"[3,6]"
1836,8,0.55,0.42,12.6,0.211,37,213,0.9988,2.99,0.56,9.3,"[3,6]"
4406,5.9,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4,"[3,6]"
1979,7.9,0.33,0.26,1.2,0.044,23,103,0.9932,3.19,0.54,10.5,"[3,6]"
3296,6.6,0.28,0.41,7,0.046,59,194,0.99558,3.14,0.48,9.4,"[3,6]"
2830,7.1,0.26,0.32,16.2,0.044,31,170,0.99644,3.17,0.37,11.2,"[3,6]"
3700,7.6,0.3,0.37,1.6,0.087,27,177,0.99438,3.09,0.5,9.8,"[3,6]"
2962,6.9,0.23,0.41,8,0.03,30,114,0.99368,3.22,0.54,11,"[3,6]"
216,5.8,0.26,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4,"[3,6]"
4417,5.7,0.24,0.47,6.3,0.069,35,182,0.99391,3.11,0.46,9.75,"[3,6]"
4276,5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,"[3,6]"
858,8.2,0.4,0.48,13.7,0.042,59,169,0.9986,3.1,0.52,9.4,"[3,6]"
4355,6.4,0.31,0.27,7.4,0.049,48,169,0.99323,3.27,0.45,11.1,"[3,6]"
2648,5.8,0.15,0.28,0.8,0.037,43,127,0.99198,3.24,0.51,9.3,"[3,6]"
4745,5,0.24,0.19,5,0.043,17,101,0.99438,3.67,0.57,10,"[3,6]"
2442,7.2,0.2,0.28,1.6,0.028,13,168,0.99203,3.17,1.06,11.5,"[3,6]"
3776,6.5,0.33,0.28,6.1,0.018,41,103,0.99122,3.24,0.32,12.2,"[3,6]"
4663,7.3,0.17,0.36,8.2,0.028,44,111,0.99272,3.14,0.41,12.4,"[3,6]"
1596,6.4,0.27,0.49,7.3,0.046,53,206,0.9956,3.24,0.43,9.2,"[3,6]"
3410,6.2,0.23,0.35,0.7,0.051,24,111,0.9916,3.37,0.43,11,"[3,6]"
2577,6.5,0.27,0.4,10,0.039,74,227,0.99582,3.18,0.5,9.4,"[3,6]"
1373,10.7,0.22,0.56,8.2,0.044,37,181,0.998,2.87,0.68,9.5,"[3,6]"
195,6.4,0.29,0.44,3.6,0.2,75,181,0.9942,3.02,0.41,9.1,"[3,6]"
1964,7.4,0.32,0.55,16.6,0.056,53,238,1.0017,2.96,0.58,8.7,"[3,6]"
814,6.5,0.26,0.32,16.5,0.045,44,166,1,3.38,0.46,9.5,"[3,6]"
3889,6,0.28,0.24,17.8,0.047,42,111,0.99896,3.1,0.45,8.9,"[3,6]"
2899,8.6,0.18,0.28,0.8,0.032,25,78,0.99104,2.99,0.38,11.1,"[3,6]"
2816,6.6,0.36,0.24,0.9,0.038,15,72,0.99066,3.23,0.39,11,"[3,6]"
647,6.5,0.33,0.72,1.1,0.061,7,151,0.993,3.09,0.57,9.5,"[3,6]"
2139,5.5,0.24,0.32,8.7,0.06,19,102,0.994,3.27,0.31,10.4,"[3,6]"
2454,6.3,0.2,0.26,1.6,0.027,36,141,0.99268,3.53,0.56,10.8,"[3,6]"
1141,8.5,0.16,0.33,1,0.076,17,57,0.9921,3.14,0.46,10.6,"[3,6]"
3082,6.2,0.25,0.54,7,0.046,58,176,0.99454,3.19,0.7,10.4,"[3,6]"
2237,7.1,0.28,0.19,7.8,0.04,48,184,0.99579,3.16,0.5,9.4,"[3,6]"
590,7,0.23,0.33,5.8,0.04,25,136,0.995,3.19,0.58,9.5,"[3,6]"
172,7.9,0.19,0.45,1.5,0.045,17,96,0.9917,3.13,0.39,11,"[3,6]"
1026,6.2,0.15,0.46,1.6,0.039,38,123,0.993,3.38,0.51,9.7,"[3,6]"
4530,7.3,0.26,0.53,12.7,0.047,60.5,164.5,0.9984,3.06,0.45,9.1,"[3,6]"
3980,6.5,0.29,0.52,1.7,0.034,41,193,0.99223,3.25,0.59,10.4,"[3,6]"
2521,7.5,0.41,0.23,14.8,0.054,28,174,0.99898,3.18,0.49,9.7,"[3,6]"
762,7,0.2,0.38,8.1,0.05,42,173,0.99585,3.3,0.54,9.8,"[3,6]"
4022,7,0.23,0.42,1.1,0.062,35,100,0.99318,3.04,0.4,9.2,"[3,6]"
2485,6.4,0.3,0.16,7.5,0.05,55,191,0.9959,3.17,0.49,9,"[3,6]"
3974,6.3,0.27,0.51,7.6,0.049,35,200,0.99548,3.16,0.54,9.4,"[3,6]"
1966,6.8,0.27,0.28,13.3,0.076,50,163,0.9979,3.03,0.38,8.6,"[3,6]"
4033,6.8,0.27,0.22,17.8,0.034,16,116,0.9989,3.07,0.53,9.2,"[3,6]"
2173,6.9,0.32,0.13,7.8,0.042,11,117,0.996,3.23,0.37,9.2,"[3,6]"
12,8.6,0.23,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7,"[3,6]"
2714,6.8,0.23,0.42,7.4,0.044,56,189,0.9958,3.22,0.48,9.3,"[3,6]"
1445,7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,"[3,6]"
2272,6.7,0.25,0.26,13.5,0.06,50,156,0.99784,3.39,0.46,9.9,"[3,6]"
736,6.4,0.25,0.3,5.5,0.038,15,129,0.9948,3.14,0.49,9.6,"[3,6]"
3842,6.6,0.21,0.5,8.7,0.036,41,191,0.99294,2.96,0.56,11,"[3,6]"
1377,6.9,0.27,0.41,1.7,0.047,6,134,0.9929,3.15,0.69,11.4,"[3,6]"
462,7,0.25,0.29,15.2,0.047,40,171,0.9982,3.22,0.45,9.3,"[3,6]"
2949,6.8,0.26,0.48,6.2,0.049,55,182,0.99582,3.21,0.45,9.4,"[3,6]"
4874,5.7,0.21,0.32,1.6,0.03,33,122,0.99044,3.33,0.52,11.9,"[3,6]"
4186,6.9,0.24,0.4,15.4,0.052,81,198,0.9986,3.2,0.69,9.4,"[3,6]"
2346,8.1,0.24,0.26,11,0.043,41,211,0.99676,3.11,0.49,10,"[3,6]"
1213,7.6,0.32,0.36,1.6,0.04,32,155,0.993,3.23,0.52,11.3,"[3,6]"
405,6.8,0.22,0.31,6.3,0.035,33,170,0.9918,3.24,0.66,12.6,"[3,6]"
3733,7.5,0.28,0.41,1.3,0.044,11,126,0.99293,3.28,0.45,10.3,"[3,6]"
2239,6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6,"[3,6]"
4520,5.8,0.13,0.22,12.7,0.058,24,183,0.9956,3.32,0.42,11.7,"[3,6]"
2190,7.1,0.18,0.32,12.2,0.048,36,125,0.9967,2.92,0.54,9.4,"[3,6]"
4462,7.7,0.28,0.24,2.4,0.044,29,157,0.99312,3.27,0.56,10.6,"[3,6]"
2732,7.9,0.51,0.36,6.2,0.051,30,173,0.9984,3.09,0.53,9.7,"[3,6]"
2941,7.1,0.29,0.34,7.8,0.036,49,128,0.99397,3.21,0.4,10.7,"[3,6]"
1816,6.8,0.3,0.35,2.8,0.038,10,164,0.9912,3.09,0.53,12,"[3,6]"
956,7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,"[3,6]"
559,5.9,0.21,0.24,12.1,0.044,53,165,0.9969,3.25,0.39,9.5,"[3,6]"
3886,7.2,0.24,0.36,2,0.029,21,63,0.99076,3.13,0.63,12.5,"[3,6]"
4096,6.6,0.41,0.27,10.7,0.11,20,103,0.99672,3.08,0.41,9,"[3,6]"
2685,6.6,0.21,0.29,1.8,0.026,35,128,0.99183,3.37,0.48,11.2,"[3,6]"
4291,5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,"[3,6]"
3495,6.7,0.24,0.36,8.4,0.042,42,123,0.99473,3.34,0.52,10.9,"[3,6]"
542,7.2,0.46,0.65,10.4,0.05,76,192,0.9976,3.16,0.42,8.7,"[3,6]"
984,5.7,0.36,0.34,4.2,0.026,21,77,0.9907,3.41,0.45,11.9,"[3,6]"
2041,6.7,0.3,0.45,10.6,0.032,56,212,0.997,3.22,0.59,9.5,"[3,6]"
781,6,0.395,0,1.4,0.042,7,55,0.99135,3.37,0.38,11.2,"[3,6]"
1789,8.2,0.36,0.29,7.6,0.035,37,122,0.9939,3.16,0.34,12,"[3,6]"
2101,6.7,0.24,0.33,12.3,0.046,31,145,0.9983,3.36,0.4,9.5,"[3,6]"
3549,6.2,0.47,0.19,8.3,0.029,24,142,0.992,3.22,0.45,12.3,"[3,6]"
870,7.3,0.24,0.29,1.2,0.037,37,97,0.9926,3.19,0.7,10.1,"[3,6]"
544,6.7,0.24,0.41,8.7,0.036,29,148,0.9952,3.22,0.62,9.9,"[3,6]"
1034,7.1,0.3,0.36,6.8,0.055,44.5,234,0.9972,3.49,0.64,10.2,"[3,6]"
4639,6.5,0.51,0.25,1.7,0.048,39,177,0.99212,3.28,0.57,10.6,"[3,6]"
988,7.4,0.3,0.3,5.2,0.053,45,163,0.9941,3.12,0.45,10.3,"[3,6]"
1236,7.8,0.32,0.31,1.7,0.036,46,195,0.993,3.03,0.48,10.5,"[3,6]"
3887,6.8,0.33,0.31,7.4,0.045,34,143,0.99226,3.06,0.55,12.2,"[3,6]"
985,6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,"[3,6]"
1965,6.8,0.31,0.42,6.9,0.046,50,173,0.9958,3.19,0.46,9,"[3,6]"
2227,7.7,0.28,0.58,12.1,0.046,60,177,0.9983,3.08,0.46,8.9,"[3,6]"
408,6.9,0.49,0.24,1.2,0.049,13,125,0.9932,3.17,0.51,9.4,"[3,6]"
3564,7,0.48,0.12,4.5,0.05,23,86,0.99398,2.86,0.35,9,"[3,6]"
3281,6.4,0.15,0.29,1.8,0.044,21,115,0.99166,3.1,0.38,10.2,"[3,6]"
1844,8.3,0.28,0.45,7.8,0.059,32,139,0.9972,3.33,0.77,11.2,"[3,6]"
2615,6.15,0.21,0.37,3.2,0.021,20,80,0.99076,3.39,0.47,12,"[3,6]"
3987,6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,"[3,6]"
819,6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9,"[3,6]"
4049,6.9,0.19,0.35,13.5,0.038,49,118,0.99546,3,0.63,10.7,"[3,6]"
4241,6.5,0.26,0.24,10.8,0.042,47,130,0.996,3.08,0.4,10.1,"[3,6]"
4549,6.4,0.46,0.22,14.7,0.047,51,183,0.998275,3.39,0.6,10.5,"[3,6]"
2309,9.4,0.28,0.3,1.6,0.045,36,139,0.99534,3.11,0.49,9.3,"[3,6]"
4651,5.6,0.695,0.06,6.8,0.042,9,84,0.99432,3.44,0.44,10.2,"[3,6]"
3161,6.5,0.34,0.46,1,0.023,6,80,0.98865,3.15,0.54,12.9,"[3,6]"
2075,6.6,0.22,0.28,4.9,0.042,51,180,0.9952,3.3,0.75,9.5,"[3,6]"
1866,7.6,0.36,0.44,8.3,0.255,28,142,0.9958,3.12,0.43,10.2,"[3,6]"
1477,7.1,0.85,0.49,8.7,0.028,40,184,0.9962,3.22,0.36,10.7,"[3,6]"
948,8.5,0.16,0.35,1.6,0.039,24,147,0.9935,2.96,0.36,10,"[3,6]"
4446,5,0.35,0.25,7.8,0.031,24,116,0.99241,3.39,0.4,11.3,"[3,6]"
548,7.7,0.22,0.42,1.9,0.052,10,87,0.9922,3.3,0.49,11.8,"[3,6]"
234,7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,"[3,6]"
2368,7.2,0.3,0.3,8.1,0.05,40,188,0.99652,3.15,0.49,9.1,"[3,6]"
2049,6.8,0.33,0.44,7,0.05,29,155,0.9955,3.14,0.42,9.5,"[3,6]"
1693,7,0.24,0.3,4.2,0.04,41,213,0.9927,3.28,0.49,11.8,"[3,6]"
2534,6.4,0.22,0.3,11.2,0.046,53,149,0.99479,3.21,0.34,10.8,"[3,6]"
3152,6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,"[3,6]"
3601,6.8,0.12,0.3,12.9,0.049,32,88,0.99654,3.2,0.35,9.9,"[3,6]"
39,7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,"[3,6]"
2513,5.6,0.175,0.29,0.8,0.043,20,67,0.99112,3.28,0.48,9.9,"[3,6]"
3847,6.7,0.24,0.32,9,0.023,20,109,0.99262,3.34,0.35,12.6,"[3,6]"
539,6.1,0.24,0.3,1.5,0.045,22,61,0.992,3.31,0.54,10.4,"[3,6]"
1342,7.6,0.54,0.23,2,0.029,13,151,0.9931,3.04,0.33,10.4,"[3,6]"
4221,6,0.19,0.29,1.2,0.046,29,92,0.99033,3.22,0.53,11.3,"[3,6]"
4578,6.3,0.15,0.34,11.4,0.05,25,96,0.99754,3.21,0.49,10,"[3,6]"
2641,7.4,0.2,0.37,1.2,0.028,28,89,0.99132,3.14,0.61,11.8,"[3,6]"
3887,6.8,0.33,0.31,7.4,0.045,34,143,0.99226,3.06,0.55,12.2,"[3,6]"
1034,7.1,0.3,0.36,6.8,0.055,44.5,234,0.9972,3.49,0.64,10.2,"[3,6]"
2020,6.6,0.32,0.22,16.7,0.046,38,133,0.9979,3.22,0.67,10.4,"[3,6]"
1210,8,0.23,0.46,1.5,0.03,30,125,0.9907,3.23,0.47,12.5,"[3,6]"
415,7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9,"[3,6]"
1835,6.4,0.21,0.3,5.6,0.044,43,160,0.9949,3.6,0.41,10.6,"[3,6]"
165,6.7,0.24,0.35,13.1,0.05,64,205,0.997,3.15,0.5,9.5,"[3,6]"
1868,6.9,0.37,0.28,13.8,0.031,34,137,0.9948,3.1,0.37,11.6,"[3,6]"
942,6.3,0.27,0.46,11.75,0.037,61,212,0.9971,3.25,0.53,9.5,"[3,6]"
1664,7.9,0.33,0.28,31.6,0.053,35,176,1.0103,3.15,0.38,8.8,"[3,6]"
4201,8,0.24,0.33,1.2,0.044,28,101,0.99035,3.03,0.43,12.5,"[3,6]"
2444,6.6,0.32,0.33,2.5,0.052,40,219.5,0.99316,3.15,0.6,10,"[3,6]"
3633,6.5,0.21,0.51,17.6,0.045,34,125,0.99966,3.2,0.47,8.8,"[3,6]"
2590,7.2,0.615,0.1,1.4,0.068,25,154,0.99499,3.2,0.48,9.7,"[3,6]"
1821,6.8,0.3,0.35,2.8,0.038,10,164,0.9912,3.09,0.53,12,"[3,6]"
4825,6.4,0.23,0.35,10.3,0.042,54,140,0.9967,3.23,0.47,9.2,"[3,6]"
