X,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,BQ2_quality
3710,6.7,0.31,0.09,1.4,0.039,53,141,0.99206,3.12,0.44,10.1,"[3,6]"
208,10.2,0.44,0.88,6.2,0.049,20,124,0.9968,2.99,0.51,9.9,"[3,6]"
1872,7,0.21,0.22,5.1,0.048,38,168,0.9945,3.34,0.49,10.4,"[3,6]"
522,7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,"[3,6]"
502,6.8,0.19,0.58,14.2,0.038,51,164,0.9975,3.12,0.48,9.6,"[3,6]"
1586,7.3,0.3,0.74,13.5,0.039,46,165,0.9982,3.02,0.4,8.7,"[3,6]"
3222,6.6,0.24,0.38,12.75,0.034,8,74,0.99386,3.1,0.57,12.9,"[3,6]"
3222,6.6,0.24,0.38,12.75,0.034,8,74,0.99386,3.1,0.57,12.9,"[3,6]"
1792,6.4,0.33,0.24,1.6,0.054,25,117,0.9943,3.36,0.5,9.3,"[3,6]"
1800,6.4,0.26,0.21,7.1,0.04,35,162,0.9956,3.39,0.58,9.9,"[3,6]"
788,7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,"[3,6]"
1973,7.6,0.2,0.26,4.5,0.086,37,133,0.9963,3.15,0.42,9.2,"[3,6]"
899,6.6,0.26,0.29,1.4,0.039,13,67,0.9915,3.05,0.49,10.9,"[3,6]"
231,6.8,0.64,0.08,9.7,0.062,26,142,0.9972,3.37,0.46,8.9,"[3,6]"
1190,7.6,0.26,0.47,1.6,0.068,5,55,0.9944,3.1,0.45,9.6,"[3,6]"
3325,6.9,0.17,0.3,2,0.047,13,117,0.99152,3.16,0.51,11.6,"[3,6]"
2448,6.5,0.27,0.26,8.2,0.042,21,133,0.99612,3.43,0.64,9.8,"[3,6]"
4521,5.8,0.31,0.31,7.5,0.052,55,230,0.9949,3.19,0.46,9.8,"[3,6]"
2562,6.9,0.28,0.22,10,0.052,36,131,0.99696,3.08,0.46,9.6,"[3,6]"
1586,7.3,0.3,0.74,13.5,0.039,46,165,0.9982,3.02,0.4,8.7,"[3,6]"
209,6.8,0.57,0.29,2.2,0.04,15,77,0.9938,3.32,0.74,10.2,"[3,6]"
1355,7.8,0.13,0.3,1.8,0.04,43,179,0.9955,3.43,0.41,9,"[3,6]"
1322,7.3,0.43,0.37,4.6,0.028,17,114,0.991,3.23,0.43,13.2,"[3,6]"
950,7.3,0.25,0.39,6.4,0.034,8,84,0.9942,3.18,0.46,11.5,"[3,6]"
757,5.8,0.25,0.28,11.1,0.056,45,175,0.99755,3.42,0.43,9.5,"[3,6]"
2963,6.9,0.38,0.38,13.1,0.112,14,94,0.99792,3.02,0.48,9.2,"[3,6]"
2311,6.8,0.21,0.55,14.6,0.053,34,159,0.99805,2.93,0.44,9.2,"[3,6]"
4309,6.2,0.26,0.29,2,0.036,16,87,0.99081,3.33,0.61,11.8,"[3,6]"
2434,7.4,0.35,0.2,13.9,0.054,63,229,0.99888,3.11,0.5,8.9,"[3,6]"
1822,7.4,0.29,0.31,1.7,0.035,23,110,0.9926,3.07,0.38,10.9,"[3,6]"
4206,6.7,0.41,0.27,2.6,0.033,25,85,0.99086,3.05,0.34,11.7,"[3,6]"
175,7.5,0.27,0.31,17.7,0.051,33,173,0.999,3.09,0.64,10.2,"[3,6]"
899,6.6,0.26,0.29,1.4,0.039,13,67,0.9915,3.05,0.49,10.9,"[3,6]"
4345,6.7,0.27,0.69,1.2,0.176,36,106,0.99288,2.96,0.43,9.2,"[3,6]"
4254,5.3,0.47,0.1,1.3,0.036,11,74,0.99082,3.48,0.54,11.2,"[3,6]"
1190,7.6,0.26,0.47,1.6,0.068,5,55,0.9944,3.1,0.45,9.6,"[3,6]"
3066,7,0.15,0.38,15.3,0.045,54,120,0.9975,3.18,0.42,9.8,"[3,6]"
2850,7.7,0.43,0.37,10,0.169,22,210,0.99776,3.02,0.64,9.5,"[3,6]"
2922,6.7,0.39,0.31,2.7,0.054,27,202,0.9948,3.46,0.57,10.5,"[3,6]"
384,7.2,0.27,0.27,2.4,0.048,30,149,0.9936,3.1,0.51,9.2,"[3,6]"
1374,10.7,0.22,0.56,8.2,0.044,37,181,0.998,2.87,0.68,9.5,"[3,6]"
1448,7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,"[3,6]"
1312,6.3,0.23,0.22,3.75,0.039,37,116,0.9927,3.23,0.5,10.7,"[3,6]"
4548,5.9,0.29,0.32,1.4,0.022,17,47,0.9899,3.35,0.35,11.5,"[3,6]"
287,6.5,0.28,0.33,15.7,0.053,51,190,0.9978,3.22,0.51,9.7,"[3,6]"
628,7,0.32,0.24,6.2,0.048,31,228,0.9957,3.23,0.62,9.4,"[3,6]"
4775,7.1,0.24,0.34,1.2,0.045,6,132,0.99132,3.16,0.46,11.2,"[3,6]"
3716,6.5,0.35,0.38,7.4,0.036,20,196,0.99712,3.47,0.48,9.1,"[3,6]"
4740,5.5,0.16,0.31,1.2,0.026,31,68,0.9898,3.33,0.44,11.65,"[3,6]"
2739,6.9,0.615,0.42,12,0.067,24,131,0.99727,3.19,0.34,9.3,"[3,6]"
1852,6.1,0.34,0.46,4.7,0.029,21,94,0.991,3.29,0.62,12.3,"[3,6]"
2534,6.4,0.22,0.3,11.2,0.046,53,149,0.99479,3.21,0.34,10.8,"[3,6]"
2458,8.1,0.33,0.36,7.4,0.037,36,156,0.99592,3.19,0.54,10.6,"[3,6]"
4745,5,0.24,0.19,5,0.043,17,101,0.99438,3.67,0.57,10,"[3,6]"
2243,6.1,0.23,0.45,10.6,0.094,49,169,0.99699,3.05,0.54,8.8,"[3,6]"
3675,6.6,0.34,0.2,1,0.053,26,112,0.99336,3.32,0.55,9.1,"[3,6]"
1152,6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9,"[3,6]"
3243,7,0.29,0.35,1.4,0.036,42,109,0.99119,3.31,0.62,11.6,"[3,6]"
3774,5,0.61,0.12,1.3,0.009,65,100,0.9874,3.26,0.37,13.5,"[3,6]"
550,7.2,0.46,0.65,10.4,0.05,76,192,0.9976,3.16,0.42,8.7,"[3,6]"
4387,6,0.27,0.31,5,0.043,54,170,0.9924,3.28,0.52,11,"[3,6]"
1148,8.9,0.34,0.32,1.3,0.041,12,188,0.9953,3.17,0.49,9.5,"[3,6]"
3353,6.7,0.36,0.28,8.3,0.034,29,81,0.99151,2.96,0.39,12.5,"[3,6]"
4346,7.1,0.2,0.35,3.2,0.034,21,107,0.99195,3.11,0.54,11.1,"[3,6]"
1114,7.4,0.18,0.4,1.6,0.047,22,102,0.9937,3.28,0.44,10.7,"[3,6]"
1322,7.3,0.43,0.37,4.6,0.028,17,114,0.991,3.23,0.43,13.2,"[3,6]"
39,7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,"[3,6]"
2968,6.6,0.23,0.3,14.9,0.051,33,118,0.99835,3.04,0.54,9,"[3,6]"
1701,6.7,0.26,0.3,1.8,0.043,25,121,0.9944,3.44,0.61,10.2,"[3,6]"
2156,7.8,0.29,0.33,8.75,0.035,33,181,0.9962,3.11,0.46,10.7,"[3,6]"
2258,7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,"[3,6]"
4880,6.6,0.34,0.4,8.1,0.046,68,170,0.99494,3.15,0.5,9.533333333,"[3,6]"
4372,7,0.23,0.28,2.7,0.053,16,92,0.99372,3.18,0.56,9.3,"[3,6]"
4309,6.2,0.26,0.29,2,0.036,16,87,0.99081,3.33,0.61,11.8,"[3,6]"
3735,6,0.21,0.29,13.1,0.042,28,125,0.99936,3.39,0.45,8.6,"[3,6]"
608,7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6,"[3,6]"
4387,6,0.27,0.31,5,0.043,54,170,0.9924,3.28,0.52,11,"[3,6]"
4535,6.4,0.24,0.27,1.5,0.04,35,105,0.98914,3.13,0.3,12.4,"[3,6]"
2772,6.3,0.2,0.24,1.7,0.052,36,135,0.99374,3.8,0.66,10.8,"[3,6]"
4295,7.4,0.22,0.28,9,0.046,22,121,0.99468,3.1,0.55,10.8,"[3,6]"
2,6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,"[3,6]"
3044,7.2,0.21,1,1.1,0.154,46,114,0.9931,2.95,0.43,9.2,"[3,6]"
608,7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6,"[3,6]"
4634,6.2,0.28,0.41,5,0.043,50,188,0.99318,3.23,0.64,10.8,"[3,6]"
4535,6.4,0.24,0.27,1.5,0.04,35,105,0.98914,3.13,0.3,12.4,"[3,6]"
4260,3.8,0.31,0.02,11.1,0.036,20,114,0.99248,3.75,0.44,12.4,"[3,6]"
2292,8.6,0.17,0.28,2.7,0.047,38,150,0.99365,3.1,0.56,10.8,"[3,6]"
648,7.4,0.105,0.34,12.2,0.05,57,146,0.9973,3.16,0.37,9,"[3,6]"
4230,6.3,0.26,0.25,5.2,0.046,11,133,0.99202,2.97,0.68,11,"[3,6]"
3039,6.5,0.23,0.45,2.1,0.027,43,104,0.99054,3.02,0.52,11.3,"[3,6]"
3066,7,0.15,0.38,15.3,0.045,54,120,0.9975,3.18,0.42,9.8,"[3,6]"
2816,6.6,0.36,0.24,0.9,0.038,15,72,0.99066,3.23,0.39,11,"[3,6]"
332,6.8,0.24,0.34,4.6,0.032,37,135,0.9927,3.2,0.39,10.6,"[3,6]"
2087,8.2,0.17,0.32,1.5,0.05,17,101,0.994,3.14,0.58,9.5,"[3,6]"
696,6.3,0.34,0.28,14.7,0.047,49,198,0.9977,3.23,0.46,9.5,"[3,6]"
4332,7.4,0.38,0.34,8.3,0.052,44,168,0.99627,3.11,0.52,9.2,"[3,6]"
2899,8.6,0.18,0.28,0.8,0.032,25,78,0.99104,2.99,0.38,11.1,"[3,6]"
2044,7.4,0.18,0.34,2.7,0.03,30,107,0.992,2.97,0.53,11,"[3,6]"
4442,6.6,0.27,0.25,1.2,0.033,36,111,0.98918,3.16,0.37,12.4,"[3,6]"
2437,6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,"[3,6]"
4432,6.6,0.38,0.28,2.8,0.043,17,67,0.98924,3.21,0.47,13.2,"[3,6]"
3280,7.4,0.16,0.32,1.4,0.065,23,140,0.99134,3.06,0.47,11.4,"[3,6]"
4614,5.8,0.27,0.2,7.3,0.04,42,145,0.99442,3.15,0.48,9.8,"[3,6]"
4799,5.9,0.32,0.19,14.5,0.042,37,115,0.99684,3.16,0.43,10.3,"[3,6]"
2836,6.3,0.25,0.22,3.3,0.048,41,161,0.99256,3.16,0.5,10.5,"[3,6]"
350,7.6,0.17,0.45,11.2,0.054,56,137,0.997,3.15,0.47,10,"[3,6]"
2167,7,0.35,0.31,1.8,0.069,15,162,0.9944,3.18,0.47,9.4,"[3,6]"
1169,7.2,0.2,0.38,1,0.037,21,74,0.9918,3.21,0.37,11,"[3,6]"
2454,6.3,0.2,0.26,1.6,0.027,36,141,0.99268,3.53,0.56,10.8,"[3,6]"
2681,8,0.17,0.29,2.4,0.029,52,119,0.98944,3.03,0.33,12.9,"[3,6]"
677,5.9,0.29,0.25,12,0.057,48,224,0.9981,3.23,0.41,9,"[3,6]"
2259,7.6,0.48,0.28,10.4,0.049,57,205,0.99748,3.24,0.45,9.3,"[3,6]"
4276,5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,"[3,6]"
3125,6.5,0.24,0.39,17.3,0.052,22,126,0.99888,3.11,0.47,9.2,"[3,6]"
1872,7,0.21,0.22,5.1,0.048,38,168,0.9945,3.34,0.49,10.4,"[3,6]"
3349,7.2,0.27,0.28,15.2,0.046,6,41,0.99665,3.17,0.39,10.9,"[3,6]"
3336,6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,"[3,6]"
2156,7.8,0.29,0.33,8.75,0.035,33,181,0.9962,3.11,0.46,10.7,"[3,6]"
426,7,0.21,0.28,8.7,0.045,37,222,0.9954,3.25,0.54,10.4,"[3,6]"
1915,6.8,0.43,0.3,3.5,0.033,27,135,0.9906,3,0.37,12,"[3,6]"
1041,8.2,0.68,0.3,2.1,0.047,17,138,0.995,3.22,0.71,10.8,"[3,6]"
2407,7.9,0.44,0.26,4.45,0.033,23,100,0.99117,3.17,0.52,12.7,"[3,6]"
3711,4.7,0.67,0.09,1,0.02,5,9,0.98722,3.3,0.34,13.6,"[3,6]"
4276,5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,"[3,6]"
2114,5.7,0.33,0.15,1.9,0.05,20,93,0.9934,3.38,0.62,9.9,"[3,6]"
2248,6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6,"[3,6]"
4052,6.8,0.3,0.27,11.6,0.028,22,97,0.99314,2.96,0.38,11.7,"[3,6]"
59,6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,"[3,6]"
677,5.9,0.29,0.25,12,0.057,48,224,0.9981,3.23,0.41,9,"[3,6]"
465,7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,"[3,6]"
950,7.3,0.25,0.39,6.4,0.034,8,84,0.9942,3.18,0.46,11.5,"[3,6]"
2292,8.6,0.17,0.28,2.7,0.047,38,150,0.99365,3.1,0.56,10.8,"[3,6]"
173,7.6,0.48,0.37,0.8,0.037,4,100,0.9902,3.03,0.39,11.4,"[3,6]"
185,6.8,0.26,0.56,11.9,0.043,64,226,0.997,3.02,0.63,9.3,"[3,6]"
2248,6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6,"[3,6]"
1312,6.3,0.23,0.22,3.75,0.039,37,116,0.9927,3.23,0.5,10.7,"[3,6]"
502,6.8,0.19,0.58,14.2,0.038,51,164,0.9975,3.12,0.48,9.6,"[3,6]"
3607,6.4,0.38,0.24,7.2,0.047,41,151,0.99604,3.11,0.6,9.2,"[3,6]"
3849,7.1,0.39,0.79,1.4,0.194,23,90,0.99212,3.17,0.46,10.5,"[3,6]"
2269,6.3,0.2,0.3,5.9,0.034,35,152,0.99642,3.47,0.4,8.5,"[3,6]"
2259,7.6,0.48,0.28,10.4,0.049,57,205,0.99748,3.24,0.45,9.3,"[3,6]"
3081,8.5,0.19,0.48,1.1,0.026,23,58,0.99184,2.9,0.5,10.5,"[3,6]"
708,7.2,0.18,0.45,4.4,0.046,57,166,0.9943,3.13,0.62,11.2,"[3,6]"
2139,5.5,0.24,0.32,8.7,0.06,19,102,0.994,3.27,0.31,10.4,"[3,6]"
2850,7.7,0.43,0.37,10,0.169,22,210,0.99776,3.02,0.64,9.5,"[3,6]"
197,6.4,0.29,0.44,3.6,0.197,75,183,0.9942,3.01,0.38,9.1,"[3,6]"
1190,7.6,0.26,0.47,1.6,0.068,5,55,0.9944,3.1,0.45,9.6,"[3,6]"
3538,6.2,0.27,0.47,1.2,0.146,28,105,0.99224,3.23,0.51,10.1,"[3,6]"
370,7.1,0.39,0.35,12.5,0.044,26,72,0.9941,3.17,0.29,11.6,"[3,6]"
4614,5.8,0.27,0.2,7.3,0.04,42,145,0.99442,3.15,0.48,9.8,"[3,6]"
4189,5.3,0.33,0.3,1.2,0.048,25,119,0.99045,3.32,0.62,11.3,"[3,6]"
11,8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12,"[3,6]"
3044,7.2,0.21,1,1.1,0.154,46,114,0.9931,2.95,0.43,9.2,"[3,6]"
1991,6.4,0.43,0.27,1.1,0.054,5,110,0.9939,3.24,0.52,9.1,"[3,6]"
1160,7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,"[3,6]"
1003,6.4,0.28,0.43,7.1,0.045,60,221,0.9952,3.09,0.45,9.4,"[3,6]"
1928,7.1,0.25,0.28,1.6,0.052,46,169,0.9926,3.05,0.41,10.5,"[3,6]"
1577,6.2,0.27,0.49,1.4,0.05,20,74,0.9931,3.32,0.44,9.8,"[3,6]"
4778,5.9,0.27,0.32,2,0.034,31,102,0.98952,3.16,0.56,12.3,"[3,6]"
3488,6.5,0.22,0.19,1.1,0.064,36,191,0.99297,3.05,0.5,9.5,"[3,6]"
2507,6.6,0.32,0.34,7.7,0.044,63,212,0.99526,3.22,0.48,9.7,"[3,6]"
228,7.1,0.25,0.32,10.3,0.041,66,272,0.9969,3.17,0.52,9.1,"[3,6]"
2311,6.8,0.21,0.55,14.6,0.053,34,159,0.99805,2.93,0.44,9.2,"[3,6]"
631,7,0.23,0.42,18.05,0.05,35,144,0.9999,3.22,0.42,8.8,"[3,6]"
2454,6.3,0.2,0.26,1.6,0.027,36,141,0.99268,3.53,0.56,10.8,"[3,6]"
39,7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,"[3,6]"
1456,6.9,0.34,0.74,11.2,0.069,44,150,0.9968,3,0.81,9.2,"[3,6]"
1041,8.2,0.68,0.3,2.1,0.047,17,138,0.995,3.22,0.71,10.8,"[3,6]"
74,8.6,0.23,0.46,1,0.054,9,72,0.9941,2.95,0.49,9.1,"[3,6]"
1932,7.1,0.49,0.22,2,0.047,146.5,307.5,0.9924,3.24,0.37,11,"[3,6]"
1540,7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,"[3,6]"
1426,6.8,0.22,0.49,0.9,0.052,26,128,0.991,3.25,0.35,11.4,"[3,6]"
231,6.8,0.64,0.08,9.7,0.062,26,142,0.9972,3.37,0.46,8.9,"[3,6]"
2434,7.4,0.35,0.2,13.9,0.054,63,229,0.99888,3.11,0.5,8.9,"[3,6]"
696,6.3,0.34,0.28,14.7,0.047,49,198,0.9977,3.23,0.46,9.5,"[3,6]"
82,7.1,0.2,0.34,16,0.05,51,166,0.9985,3.21,0.6,9.2,"[3,6]"
2136,7.2,0.16,0.26,7.1,0.054,41,224,0.9966,3.38,0.55,10.1,"[3,6]"
329,6.5,0.28,0.35,15.4,0.042,55,195,0.9978,3.23,0.5,9.6,"[3,6]"
2209,7.1,0.26,0.3,2,0.031,13,128,0.9917,3.19,0.49,11.4,"[3,6]"
1562,9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,"[3,6]"
1883,7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,"[3,6]"
677,5.9,0.29,0.25,12,0.057,48,224,0.9981,3.23,0.41,9,"[3,6]"
297,8.3,0.39,0.7,10.6,0.045,33,169,0.9976,3.09,0.57,9.4,"[3,6]"
4473,7,0.28,0.28,1.4,0.039,12,83,0.99173,3.18,0.65,11.1,"[3,6]"
1374,10.7,0.22,0.56,8.2,0.044,37,181,0.998,2.87,0.68,9.5,"[3,6]"
659,6.6,0.27,0.25,3.1,0.052,41,188,0.9915,3.24,0.4,11.3,"[3,6]"
4691,6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,"[3,6]"
346,7.1,0.145,0.33,4.6,0.05,33,131,0.9942,3.28,0.4,9.6,"[3,6]"
518,7.4,0.15,0.42,1.7,0.045,49,154,0.992,3,0.6,10.4,"[3,6]"
181,6.4,0.33,0.31,5.5,0.048,42,173,0.9951,3.19,0.66,9.3,"[3,6]"
411,7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9,"[3,6]"
2241,7.2,0.29,0.18,8.2,0.042,41,180,0.99644,3.16,0.49,9.1,"[3,6]"
4497,7.5,0.24,0.29,1.1,0.046,34,84,0.9902,3.04,0.39,11.45,"[3,6]"
2142,7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,"[3,6]"
1964,7.4,0.32,0.55,16.6,0.056,53,238,1.0017,2.96,0.58,8.7,"[3,6]"
3716,6.5,0.35,0.38,7.4,0.036,20,196,0.99712,3.47,0.48,9.1,"[3,6]"
166,7,0.23,0.36,13,0.051,72,177,0.9972,3.16,0.49,9.8,"[3,6]"
4405,5.9,0.29,0.16,7.9,0.044,48,197,0.99512,3.21,0.36,9.4,"[3,6]"
2831,6.6,0.22,0.34,11.6,0.05,59,140,0.99526,3.22,0.4,10.8,"[3,6]"
2157,7.9,0.28,0.32,3.6,0.038,9,76,0.992,3.05,0.31,11.7,"[3,6]"
598,7,0.29,0.37,4.9,0.034,26,127,0.9928,3.17,0.44,10.8,"[3,6]"
4495,7.5,0.24,0.29,1.1,0.046,34,84,0.9902,3.04,0.39,11.45,"[3,6]"
912,6.2,0.33,0.19,5.6,0.042,22,143,0.99425,3.15,0.63,9.9,"[3,6]"
899,6.6,0.26,0.29,1.4,0.039,13,67,0.9915,3.05,0.49,10.9,"[3,6]"
4850,6.4,0.33,0.44,8.9,0.055,52,164,0.99488,3.1,0.48,9.6,"[3,6]"
883,7.4,0.26,0.43,6,0.022,22,125,0.9928,3.13,0.55,11.5,"[3,6]"
3970,6.4,0.17,0.3,2.8,0.034,33,125,0.99152,3.03,0.49,10.4,"[3,6]"
2742,6.9,0.615,0.42,12,0.067,24,131,0.99727,3.19,0.34,9.3,"[3,6]"
2134,8.3,0.24,0.27,2.1,0.03,22,162,0.9914,2.99,0.68,11.9,"[3,6]"
3782,7.4,0.25,0.29,6.8,0.02,31,113,0.99338,3.13,0.29,10.8,"[3,6]"
2786,6.4,0.24,0.25,20.2,0.083,35,157,0.99976,3.17,0.5,9.1,"[3,6]"
8,7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,"[3,6]"
364,7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,"[3,6]"
279,6.8,0.32,0.34,1.2,0.044,14,67,0.9919,3.05,0.47,10.6,"[3,6]"
1617,6.9,0.34,0.49,7.3,0.045,61,206,0.9957,3.09,0.4,9,"[3,6]"
3231,6.7,0.13,0.57,6.6,0.056,60,150,0.99548,2.96,0.43,9.4,"[3,6]"
2968,6.6,0.23,0.3,14.9,0.051,33,118,0.99835,3.04,0.54,9,"[3,6]"
3726,6.6,0.26,0.28,9.4,0.028,13,121,0.99254,3.17,0.34,12.1,"[3,6]"
1030,6.3,0.6,0.44,11,0.05,50,245,0.9972,3.19,0.57,9.3,"[3,6]"
4481,5.9,0.22,0.45,22.6,0.12,55,122,0.99636,3.1,0.35,12.8,"[3,6]"
2443,7.6,0.285,0.32,14.6,0.063,32,201,0.998,3,0.45,9.2,"[3,6]"
1753,6.1,0.255,0.44,12.3,0.045,53,197,0.9967,3.24,0.54,9.5,"[3,6]"
1412,7,0.2,0.34,5.7,0.035,32,83,0.9928,3.19,0.46,11.5,"[3,6]"
550,7.2,0.46,0.65,10.4,0.05,76,192,0.9976,3.16,0.42,8.7,"[3,6]"
598,7,0.29,0.37,4.9,0.034,26,127,0.9928,3.17,0.44,10.8,"[3,6]"
2454,6.3,0.2,0.26,1.6,0.027,36,141,0.99268,3.53,0.56,10.8,"[3,6]"
208,10.2,0.44,0.88,6.2,0.049,20,124,0.9968,2.99,0.51,9.9,"[3,6]"
2899,8.6,0.18,0.28,0.8,0.032,25,78,0.99104,2.99,0.38,11.1,"[3,6]"
2772,6.3,0.2,0.24,1.7,0.052,36,135,0.99374,3.8,0.66,10.8,"[3,6]"
4617,7.3,0.28,0.37,1.2,0.039,26,99,0.99198,3.01,0.62,10.8,"[3,6]"
332,6.8,0.24,0.34,4.6,0.032,37,135,0.9927,3.2,0.39,10.6,"[3,6]"
2934,6.9,0.22,0.31,6.3,0.029,41,131,0.99326,3.08,0.49,10.8,"[3,6]"
3410,6.2,0.23,0.35,0.7,0.051,24,111,0.9916,3.37,0.43,11,"[3,6]"
3195,5.7,0.16,0.32,1.2,0.036,7,89,0.99111,3.26,0.48,11,"[3,6]"
1152,6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9,"[3,6]"
627,7.6,0.56,0.12,10.4,0.096,22,177,0.9983,3.32,0.45,9.1,"[3,6]"
4388,7.1,0.21,0.33,1.2,0.039,34,97,0.99112,3.11,0.75,11.2,"[3,6]"
507,7.3,0.51,0.26,3.3,0.09,7,135,0.9944,3.01,0.52,8.8,"[3,6]"
803,6.8,0.39,0.35,11.6,0.044,57,220,0.99775,3.07,0.53,9.3,"[3,6]"
2437,6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,"[3,6]"
